"lat","lng","color","name","sid","nid"
"21.7140103","71.8691770","#dfe570","sound_violet","VlGYdd9lyeh","i99"
"12.9750954","80.0896339","#ed95a6","vertical_azure","ZtEU9DFgqAc","i100"
"20.1763610","72.7684923","#a82557","fragile_harlequin","xAxEVz7IyKS","i101"
"18.5116773","73.9606514","#3186b7","foolish_yellow","LGNLAgb0qiX","i102"
"28.5951777","77.3863015","#6639a0","lonely_amaranth","j8jOJ3Tf6uH","i103"
"27.7884300","77.4413250","#e5baf4","front_brown","3rG6yB1bfNG","i104"
"21.1482183","72.8170117","#a5f981","running_tan","tWgBg3Ujyfc","i105"
"23.1724532","77.4183633","#18dd5d","frail_amber","eJtJMFCSTwz","i106"
"23.1708279","77.4262186","#d1761b","jewish_sapphire","ETZ4xPDYDvQ","i107"
"16.9860917","82.2386383","#e690f9","tiny_scarlet","MWbIi9nH-x-","i108"
"21.1796286","72.8732261","#9fd32e","extreme_scarlet","lXU0G2a3zwL","i109"
"21.2018547","72.8655620","#a298ea","vivid_apricot","8B5Fg4AeRZt","i110"
"12.8174492","79.9627858","#04a014","unnecessary_tan","B4AOZvutTxH","i111"
"14.8781803","74.1172057","#e2c014","sorry_gray","7wO3BoeXH25","i112"
"12.8250176","77.6683475","#fcbae3","arrogant_green","f6i9tQ_heE5","i113"
"19.0408157","72.8518547","#55d1c8","depressed_indigo","lvrNmnIKGPC","i114"
"28.5142084","77.2666480","#067704","atomic_sapphire","3ziagXsyby9","i115"
"30.7026600","76.6826000","#932008","large_purple","KQcLqLDGesP","i116"
"21.1648483","72.8761183","#cde562","ripe_black","pvoZat5xsDJ","i117"
"19.0408120","72.8518570","#0f9b5c","imperial_bronze","G_jWNA_Noxq","i118"
"21.1726817","72.8707367","#0aaf3c","radical_brown","ObVLo0nnl5j","i119"
"19.9565833","79.3291333","#a5c0ef","comparable_crimson","9DjJ1OkYT8Q","i120"
"28.5244549","77.3812074","#d30275","magic_coral","YehJrNObTdW","i121"
"28.7186450","77.0997267","#a5295d","abstract_amethyst","poNdj6KnNbY","i122"
"28.5113567","77.5144900","#31f7c2","double_teal","hyiI34qYtiF","i123"
"13.0772764","80.1868490","#98d3e2","developed_aqua","t2pufMgzQn8","i124"
"21.1585086","72.8378056","#e8de76","colonial_tan","G-Q33xJ6Nix","i125"
"28.6891817","77.0384898","#a0aee8","hot_violet","hZ3ZMTxRrdc","i126"
"19.0595927","72.8421482","#7de084","ok_lavender","XLMXcI6dGrV","i127"
"19.0264110","72.8739472","#80e56e","exact_scarlet","p_3rmjs99de","i128"
"30.9479739","76.7942998","#b53b2b","prickly_gray","EeSCSMgndjG","i129"
"28.5141047","77.0669173","#5f70e2","grey_sapphire","1oqxsJjw8tX","i130"
"28.7105420","77.2197788","#a9f9c9","soft_crimson","iC1e10Htydw","i131"
"18.9828298","72.8280482","#00ba94","due_aquamarine","6moLGbl2tS7","i132"
"17.9744702","78.4565447","#629e14","known_blush","ybtIe8wd3f-","i133"
"28.2943468","76.8362541","#ae6aed","warm_coral","E_Nlz_zEzli","i134"
"28.7178745","77.0990734","#6dafed","average_tomato","6eG6MV1AbBb","i135"
"18.5421405","73.8911157","#a5d84b","artistic_cyan","3V0RsWsgdx0","i136"
"10.1099803","76.4808789","#f49fc9","good_salmon","TlVWq3TLb87","i137"
"18.0088129","78.7258624","#60238c","misty_coffee","Lnrno5jqJ7u","i138"
"28.6253926","77.2854882","#438aad","miserable_amethyst","11Ye7bdfj_b","i139"
"13.0049313","77.4928921","#96f260","narrow_tomato","i7qskdNrCDQ","i140"
"12.6712118","77.7604651","#f4adc9","gastric_purple","EwEfuoKedia","i141"
"28.5241444","77.0810253","#b59736","maximum_cyan","VSTX7lY-N4l","i142"
"26.8056547","75.8193385","#6418f2","remaining_silver","qanJ1XgO7Pm","i143"
"19.1958349","72.8415932","#d631d0","fat_harlequin","w0AG1IxzpCx","i144"
"20.1030826","86.4384775","#05ba0e","dominant_red","tJdvre5ijnj","i145"
"18.4928600","73.1861950","#4247e5","shy_gold","Jd1Urmy7Ypk","i146"
"23.1255743","79.9679746","#f4c4b0","tasty_maroon","rDP5b6R5S_r","i147"
"22.4651183","88.3740436","#f7ffaf","deliberate_white","JDi_d7RcYPL","i148"
"22.5425776","72.9540170","#ed6a75","peculiar_lavender","7se8zsgCjrT","i149"
"28.4699842","77.1306370","#c9b1ef","required_sapphire","eXdv-pOYe_b","i150"
"28.5544439","77.1709891","#ef7cb6","grotesque_plum","iF5p_kedIAF","i151"
"23.0430117","72.5270417","#c4ed53","sole_teal","njoiid74p3G","i152"
"21.2071413","72.7811962","#46e023","deaf_amaranth","ltJWpVbALRb","i153"
"19.4552341","72.8255976","#3a21c6","productive_silver","3nEkFnFljY8","i154"
"19.0725752","72.8449636","#d106c0","meaningful_tomato","IFh02NtkJtG","i155"
